DataChangeID,TableName,RecordID,RecordIDField,FieldName,OldValue,NewValue,ChangedAt,ChangedBy,BaseValueAtEdit,BaseCommitID,BaseCommitAt,ChangeSource,ChangeNote,IsConflict,ResolvedValue,ResolvedAt,ResolvedBy
DCH1773649489850O9KR,molds,5753,MoldID,MoldWidthModified,,160,2026-03-16T08:24:26.614Z,,,,,extended_editor,batch=ACM17736494666149KD8; op=update,FALSE,,,
DCH17736494898504EF1,molds,5753,MoldID,MoldLengthModified,,210,2026-03-16T08:24:26.614Z,,,,,extended_editor,batch=ACM17736494666149KD8; op=update,FALSE,,,
DCH1773552062762Y5S4,trays,5229,TrayID,TrayOrderNotes,,test,2026-03-15T05:20:32.219Z,,,,,extended_editor,batch=ACM1773552032219K5R0; op=update,FALSE,,,
DCH1773552062762O19V,trays,5229,TrayID,TrayDateEntry,3/10/2026,2026-03-10,2026-03-15T05:20:32.219Z,,3/10/2026,,,extended_editor,batch=ACM1773552032219K5R0; op=update,FALSE,,,
DCH1773546889309QJGL,molddesign,4750,MoldDesignID,MoldDesignWidth,,160,2026-03-15T03:54:34.902Z,,,,,extended_editor,batch=ACM177354687490249PZ; op=update,FALSE,,,
DCH1773546889308ONXF,molddesign,4750,MoldDesignID,MoldDesignLength,,210,2026-03-15T03:54:34.902Z,,,,,extended_editor,batch=ACM177354687490249PZ; op=update,FALSE,,,
DCH1773545480774A2OZ,molddesign,4756,MoldDesignID,MoldDesignWidth,,160,2026-03-15T03:30:44.540Z,,,,,extended_editor,batch=ACM177354544454077L7; op=update,FALSE,,,
DCH1773545480774IGC4,molddesign,4756,MoldDesignID,MoldDesignLength,,210,2026-03-15T03:30:44.540Z,,,,,extended_editor,batch=ACM177354544454077L7; op=update,FALSE,,,
DCH1773542775615ULTB,molds,5747,MoldID,MoldDisposing,,FALSE,2026-03-15T02:46:14.355Z,,,,,extended_editor,batch=ACM1773542774355TK5O; op=update,FALSE,,,
DCH17735427756156PYK,molds,5747,MoldID,MoldReturning,,FALSE,2026-03-15T02:46:14.355Z,,,,,extended_editor,batch=ACM1773542774355TK5O; op=update,FALSE,,,
DCH17735427756154FEK,molds,5747,MoldID,JobID,0,,2026-03-15T02:46:14.355Z,,0,,,extended_editor,batch=ACM1773542774355TK5O; op=update,FALSE,,,
DCH1773542775615CCSH,molds,5747,MoldID,RackLayerID,700,707,2026-03-15T02:46:14.355Z,,700,,,extended_editor,batch=ACM1773542774355TK5O; op=update,FALSE,,,
DCH1773542459212O53A,molddesign,4743,MoldDesignID,MoldDesignWidth,,330,2026-03-15T02:40:20.064Z,,,,,extended_editor,batch=ACM1773542420064STI6; op=update,FALSE,,,
DCH1773542459212MHN3,molddesign,4743,MoldDesignID,MoldDesignLength,,460,2026-03-15T02:40:20.064Z,,,,,extended_editor,batch=ACM1773542420064STI6; op=update,FALSE,,,
DCH17735408556789O9W,molddesign,4743,MoldDesignID,MoldDesignWeight,,6.5,2026-03-15T02:13:52.508Z,,,,,extended_editor,batch=ACM17735408325086I84; op=update,FALSE,,,
DCH1773540855678T96Y,molddesign,4743,MoldDesignID,MoldDesignWidth,,330,2026-03-15T02:13:52.508Z,,,,,extended_editor,batch=ACM17735408325086I84; op=update,FALSE,,,
DCH1773540855678M1FV,molddesign,4743,MoldDesignID,MoldDesignLength,,460,2026-03-15T02:13:52.508Z,,,,,extended_editor,batch=ACM17735408325086I84; op=update,FALSE,,,
DCH17733967345318JP6,molds,5684,MoldID,MoldDisposing,,FALSE,2026-03-13T10:11:50.064Z,,,,,extended_editor,batch=ACM1773396710064S1KU; op=update,FALSE,,,
DCH1773396734531XE4E,molds,5684,MoldID,MoldReturning,,FALSE,2026-03-13T10:11:50.064Z,,,,,extended_editor,batch=ACM1773396710064S1KU; op=update,FALSE,,,
DCH1773396734531ID05,molds,5684,MoldID,JobID,0,,2026-03-13T10:11:50.064Z,,0,,,extended_editor,batch=ACM1773396710064S1KU; op=update,FALSE,,,
DCH1773396734531KJ4U,molds,5684,MoldID,RackLayerID,700,94,2026-03-13T10:11:50.064Z,,700,,,extended_editor,batch=ACM1773396710064S1KU; op=update,FALSE,,,
DCH1773395011230J98Y,molds,5740,MoldID,MoldDisposing,,FALSE,2026-03-13T09:43:30.247Z,,,,,extended_editor,batch=ACM17733950102474OC8; op=update,FALSE,,,
DCH1773395011230AU75,molds,5740,MoldID,MoldReturning,,FALSE,2026-03-13T09:43:30.247Z,,,,,extended_editor,batch=ACM17733950102474OC8; op=update,FALSE,,,
DCH1773395011230XTSK,molds,5740,MoldID,JobID,0,,2026-03-13T09:43:30.247Z,,0,,,extended_editor,batch=ACM17733950102474OC8; op=update,FALSE,,,
DCH1773395011230QQG3,molds,5740,MoldID,MoldNotes,test server v8.3.0 2026.3.9 9.02,test 8.5.3 2026.3.13,2026-03-13T09:43:30.247Z,,test server v8.3.0 2026.3.9 9.02,,,extended_editor,batch=ACM17733950102474OC8; op=update,FALSE,,,
DCH1773395011230EOBY,molds,5740,MoldID,RackLayerID,233,707,2026-03-13T09:43:30.247Z,,233,,,extended_editor,batch=ACM17733950102474OC8; op=update,FALSE,,,
DCH1773357369963M4VW,molds,5740,MoldID,MoldWeightModified,,3.1,2026-03-12T23:16:07.057Z,,,,,extended_editor,batch=ACM1773357367057NHKA; op=update,FALSE,,,
DCH1773357369963DJDW,molds,5740,MoldID,RackLayerID,700,233,2026-03-12T23:16:07.057Z,,700,,,extended_editor,batch=ACM1773357367057NHKA; op=update,FALSE,,,
DCH1773357368933F9SU,molddesign,4735,MoldDesignID,MoldDesignWeight,,3.1,2026-03-12T23:16:07.057Z,,,,,extended_editor,batch=ACM1773357367057NHKA; op=update,FALSE,,,
DCH1773124553354EWBG,molds,5543,MoldID,MoldDisposing,,FALSE,2026-03-10T06:35:09.747Z,,,,,extended_editor,batch=ACM1773124509747NNGD; op=update,FALSE,,,
DCH1773124553354OMZF,molds,5543,MoldID,MoldReturning,,FALSE,2026-03-10T06:35:09.747Z,,,,,extended_editor,batch=ACM1773124509747NNGD; op=update,FALSE,,,
DCH1773124553354J6NX,molds,5543,MoldID,MoldWeightModified,,7.9,2026-03-10T06:35:09.747Z,,,,,extended_editor,batch=ACM1773124509747NNGD; op=update,FALSE,,,
DCH1773014600919MTV8,molds,5740,MoldID,MoldNotes,,test server v8.3.0 2026.3.9 9.02,2026-03-09T00:02:08.945Z,,,,,extended_editor,batch=ACM17730145289450ZCL; op=update,FALSE,,,
DCH177301460091979GI,molds,5740,MoldID,RackLayerID,707,700,2026-03-09T00:02:08.945Z,,707,,,extended_editor,batch=ACM17730145289450ZCL; op=update,FALSE,,,
